,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
waynesboro,Waynesboro,90,US,1552009923,42,35.32,-87.76,10,2.1
sept-iles,Sept-Iles,5,CA,1552009715,45,50.2,-66.38,-15.57,4.6
ayame,Ayame,0,CI,1552009923,95,5.61,-3.16,25.87,2.01
poum,Poum,20,MK,1552009924,73,41.28,20.71,-1.46,0.86
aksu,Aksu,0,KZ,1552006800,84,52.04,76.93,-13,4
tigzirt,Tigzirt,92,DZ,1552009924,97,36.57,4.2,8.05,0.76
tungor,Tungor,0,RU,1552009924,100,53.39,142.95,-6.88,4.36
cairns,Cairns,40,AU,1552009404,79,-16.92,145.77,29,3.6
camapua,Camapua,24,BR,1552009925,85,-19.53,-54.04,22.9,1.86
rawson,Rawson,0,AR,1552009925,54,-43.3,-65.11,9.35,2.86
lethem,Lethem,0,GY,1552009925,56,3.38,-59.8,29.02,6.56
punta de piedra,Punta de Piedra,0,VE,1552009925,78,7.62,-71.49,22.02,1.06
vostok,Vostok,0,RU,1552009925,52,46.45,135.83,0.8,1.51
corralillo,Corralillo,0,CU,1552009926,86,22.98,-80.59,21,4.21
juegang,Juegang,8,CN,1552009674,66,32.31,121.18,8.89,5.16
sola,Sola,90,FI,1552006200,92,62.78,29.36,-2,3.1
rio gallegos,Rio Gallegos,0,AR,1552006800,61,-51.62,-69.22,8,6.7
ravenna,Ravenna,44,IT,1552009926,62,44.42,12.2,14.44,3.1
prince rupert,Prince Rupert,1,CA,1552006800,48,54.32,-130.32,6,1.5
haapiti,Haapiti,20,PF,1552009503,66,-17.57,-149.87,32,4.1
swakopmund,Swakopmund,0,NA,1552006990,82,-22.68,14.53,18.89,3.1
gornopravdinsk,Gornopravdinsk,56,RU,1552009927,67,60.06,69.92,-7.88,6.01
shirokiy,Shirokiy,76,RU,1552009854,56,53.87,39.17,-6.11,2.68
kiri buru,Kiri Buru,0,IN,1552009802,39,22.08,85.35,22,1.56
grand gaube,Grand Gaube,20,MU,1552009743,88,-20.01,57.66,24,1.5
whitehorse,Whitehorse,20,CA,1552009514,41,60.72,-135.06,-5,2.1
juba,Juba,40,EE,1552009876,86,57.82,26.93,4.44,5.7
palu,Palu,44,ID,1552009928,53,-0.9,119.87,26.37,0.71
bonavista,Bonavista,0,CA,1552009599,51,48.65,-53.11,-12.22,8.05
dauriya,Dauriya,44,RU,1552009929,33,49.93,116.85,3.75,5.81
goundi,Goundi,64,TD,1552009929,52,9.36,17.37,25.22,1.36
saint-paul,Saint-Paul,90,FR,1552009816,93,45.22,1.9,6.11,2.6
bar harbor,Bar Harbor,1,US,1552009623,60,44.39,-68.2,-7.22,5.21
bouna,Bouna,64,CI,1552009930,71,9.27,-3,23.47,3.01
rafsanjan,Rafsanjan,0,IR,1552009930,68,30.4,55.99,-3.46,2.01
rundu,Rundu,0,NA,1552009930,79,-17.91,19.77,16.9,1.21
hoogeveen,Hoogeveen,92,NL,1552009927,87,52.72,6.48,7.22,8.7
kralendijk,Kralendijk,100,BQ,1552009931,95,12.15,-68.27,26.25,7.26
wynyard,Wynyard,92,CA,1552009931,81,51.77,-104.18,-11.16,3.86
ilhabela,Ilhabela,56,BR,1552009931,98,-23.78,-45.36,27.25,3.01
pakpattan,Pakpattan,68,PK,1552009931,78,30.34,73.39,14.45,1.86
port hardy,Port Hardy,20,CA,1552006800,55,50.7,-127.42,4,1
manuk mangkaw,Manuk Mangkaw,76,PH,1552009932,100,4.8,119.85,24.7,1.51
pacific grove,Pacific Grove,90,US,1552009885,81,36.62,-121.92,11.11,3.6
tabory,Tabory,64,PL,1552009836,75,53.89,19.53,7.78,2.68
kabanjahe,Kabanjahe,20,ID,1552006800,78,3.1,98.49,27,3.1
biasca,Biasca,40,CH,1552009927,100,46.36,8.97,7.78,0.5
rio grande,Rio Grande,8,BR,1552009933,92,-32.03,-52.1,24.12,4.31
valdemarpils,Valdemarpils,0,LV,1552008000,93,57.37,22.59,4,6.7
haines junction,Haines Junction,12,CA,1552009775,77,60.75,-137.51,-16.73,0.91
tirumullaivasal,Tirumullaivasal,0,IN,1552009933,90,11.24,79.84,28.12,4.21
hermon,Hermon,48,GB,1552009817,86,51.96,-4.61,7.22,3.1
kendari,Kendari,56,ID,1552009934,69,-3.99,122.52,29.87,1.31
sur,Sur,0,OM,1552009934,100,22.57,59.53,20.8,7.21
tongliao,Tongliao,0,CN,1552009713,43,43.61,122.27,10.87,5.11
bria,Bria,20,CF,1552009934,73,6.54,21.99,18.87,1.21
berlevag,Berlevag,68,NO,1552009678,100,70.86,29.09,-6.28,3.21
champerico,Champerico,5,MX,1552006140,69,16.38,-93.6,23,8.2
tommot,Tommot,64,RU,1552009935,57,58.97,126.27,-9.66,3.21
tura,Tura,0,IN,1552009935,64,25.52,90.21,19.87,1.31
terrasini,Terrasini,0,IT,1552009886,51,38.15,13.08,18.33,1
kotelnikovo,Kotelnikovo,76,RU,1552009936,82,47.63,43.14,-3.41,3.66
hurricane,Hurricane,40,US,1552009603,57,37.18,-113.29,15,1.5
muzhi,Muzhi,36,RU,1552009936,71,65.4,64.7,-15.71,4.91
avera,Avera,75,US,1552009858,45,33.19,-82.53,11,2.86
omboue,Omboue,88,GA,1552009936,100,-1.57,9.26,27.87,2.11
dudinka,Dudinka,92,RU,1552009937,91,69.41,86.18,-6.98,3.11
inhambane,Inhambane,32,MZ,1552009937,100,-23.87,35.38,24.02,2.11
mahebourg,Mahebourg,20,MU,1552009443,88,-20.41,57.7,24,1.5
sao jose da coroa grande,Sao Jose da Coroa Grande,80,BR,1552009937,100,-8.9,-35.15,24.3,2.06
margate,Margate,40,AU,1552009641,34,-43.03,147.26,21.67,5.7
kakogawa,Kakogawa,75,JP,1552008294,42,34.79,134.85,9,2.6
gejiu,Gejiu,36,CN,1552009938,92,23.36,103.16,15.97,1.16
okhotsk,Okhotsk,0,RU,1552009938,91,59.36,143.24,-8.11,1.56
kurchum,Kurchum,56,KZ,1552009939,93,48.57,83.65,-9.38,1.61
coquimbo,Coquimbo,0,CL,1552006800,82,-29.95,-71.34,17,2.6
lalmohan,Lalmohan,0,BD,1552009939,84,22.34,90.74,24.87,1.86
nara,Nara,40,JP,1552009467,42,34.68,135.8,9.44,6.2
tiznit,Tiznit,0,MA,1552009939,89,29.7,-9.73,12.7,5.81
kyshtovka,Kyshtovka,0,RU,1552009940,82,56.56,76.62,-7.23,7.01
daru,Daru,0,SL,1552009940,89,7.99,-10.85,23.85,2.11
kot samaba,Kot Samaba,92,PK,1552009940,86,28.55,70.47,15.55,5.01
ola,Ola,36,RU,1552009940,100,59.58,151.3,-9.76,1.81
skjervoy,Skjervoy,64,NO,1552009711,100,70.03,20.97,-5.16,1.96
fredericton,Fredericton,20,CA,1552009725,45,45.97,-66.65,-14.44,3.6
zhezkazgan,Zhezkazgan,32,KZ,1552006800,91,47.8,67.71,-18,2
aykhal,Aykhal,68,RU,1552009941,73,65.95,111.51,-12.81,3.36
ulaangom,Ulaangom,0,MN,1552009941,67,49.98,92.07,-9.73,0.71
calama,Calama,0,CL,1552006800,39,-22.46,-68.93,19,6.7
abu samrah,Abu Samrah,0,SY,1552009942,68,35.3,37.18,3.05,3.61
baytown,Baytown,90,US,1552009821,93,29.74,-94.98,21,3.6
waingapu,Waingapu,88,ID,1552009942,99,-9.65,120.26,24.7,1.66
kodiak,Kodiak,90,US,1552009923,92,39.95,-94.76,1.11,5.1
west bay,West Bay,0,GB,1552009938,80,50.71,-2.76,6.67,4.1
rapid valley,Rapid Valley,1,US,1552009915,100,44.06,-103.15,-7,4.1
oda,Oda,20,JP,1552006800,39,35.19,132.5,9,1
kumluca,Kumluca,0,TR,1552009943,73,36.37,30.29,-5.06,0.71
oostrozebeke,Oostrozebeke,92,BE,1552009925,100,50.92,3.33,8.33,5.1
halifax,Halifax,75,CA,1552009864,78,44.65,-63.58,-11,5.7
mago,Mago,8,RU,1552009944,61,53.27,140.15,-1.53,1.86
zaozerne,Zaozerne,0,UA,1552009944,88,51.37,23.94,8.25,5.71
bystryy istok,Bystryy Istok,36,RU,1552009944,61,52.37,84.39,-9.98,1.31
mananjary,Mananjary,80,MG,1552009944,97,-19.16,46.8,16,0.76
mindelo,Mindelo,75,PT,1552009779,100,41.31,-8.72,10.56,3.1
karatuzskoye,Karatuzskoye,0,RU,1552009945,63,53.61,92.87,-6.56,1.16
kargasok,Kargasok,68,RU,1552009945,82,59.06,80.87,-0.11,5.26
jensen beach,Jensen Beach,90,US,1552009924,68,27.25,-80.23,20,2.1
kupang,Kupang,40,ID,1552006800,74,-10.16,123.6,28,1
camargo,Camargo,44,MX,1552009946,14,27.69,-105.17,22.45,4.71
ulladulla,Ulladulla,0,AU,1552009577,42,-35.36,150.48,27,2.6
neryungri,Neryungri,44,RU,1552009946,62,56.66,124.71,-11.51,6.26
sidi ali,Sidi Ali,100,DZ,1552009946,97,36.1,0.42,10,1.66
teguldet,Teguldet,92,RU,1552009946,80,57.31,88.17,-1.31,5.66
manado,Manado,40,ID,1552008600,83,1.49,124.85,25,0.5
ust-nera,Ust-Nera,56,RU,1552009947,62,64.57,143.24,-23.71,0.96
shimoda,Shimoda,20,JP,1552009128,37,34.7,138.93,11,6.2
vestmanna,Vestmanna,88,FO,1552008000,74,62.16,-7.17,-1,5.21
broome,Broome,0,GB,1552009927,75,52.47,1.45,6.67,6.2
dawei,Dawei,0,MM,1552009948,64,14.07,98.19,28.12,1.11
leh,Leh,36,IN,1552009948,65,34.16,77.58,-24.01,0.76
naryan-mar,Naryan-Mar,88,RU,1552009948,80,67.67,53.09,-9.48,7.91
dingle,Dingle,0,PH,1552009947,49,11,122.67,30.12,5.41
ancud,Ancud,40,CL,1552006800,87,-41.87,-73.83,7,1
chapais,Chapais,90,CA,1552008900,84,49.78,-74.86,-19,3.1
nishihara,Nishihara,1,JP,1552009805,42,35.74,139.53,12.78,6.2
pachino,Pachino,24,IT,1552009818,41,36.72,15.09,11.11,4.47
zhizdra,Zhizdra,92,RU,1552009949,91,53.75,34.74,3,9.71
naze,Naze,8,NG,1552009950,93,5.43,7.07,23.2,2.51
kavaratti,Kavaratti,0,IN,1552009671,100,10.57,72.64,27.3,2.66
svetlogorsk,Svetlogorsk,0,RU,1552006800,46,53.14,59.15,-12,1
payo,Payo,68,ID,1552009950,94,-3.75,103.64,26.15,1.96
gobabis,Gobabis,44,NA,1552009950,64,-22.45,18.97,20.27,3.36
gold coast,Gold Coast,75,AU,1552009861,78,-28,153.41,31.11,7.2
paamiut,Paamiut,56,GL,1552009951,87,61.99,-49.67,0.35,4.21
astana,Astana,90,KZ,1552006800,85,51.13,71.43,-11,3
ternate,Ternate,20,PH,1552009688,58,14.29,120.72,28.89,4.1
kaeo,Kaeo,92,NZ,1552009085,93,-35.1,173.78,17.22,2.86
monforte de lemos,Monforte de Lemos,88,ES,1552009807,100,42.52,-7.51,7.22,0.89
nizwa,Nizwa,0,OM,1552009952,80,22.93,57.53,7.47,1.56
abu zabad,Abu Zabad,0,SD,1552009952,24,12.35,29.25,17.22,6.01
soyo,Soyo,24,AO,1552009952,97,-6.13,12.37,24.45,1.36
sompeta,Sompeta,0,IN,1552009952,79,18.93,84.6,25.6,0.96
wanaka,Wanaka,0,NZ,1552009952,53,-44.7,169.14,14.55,1.21
shar,Shar,12,NG,1552009953,84,7.3,8.73,25.37,4.71
santa rosa,Santa Rosa,0,AR,1552009954,37,-36.62,-64.29,17,4.96
vostochnyy,Vostochnyy,90,RU,1552009525,74,55.82,37.87,-1.11,6
tabuk,Tabuk,0,PH,1552009954,62,17.41,121.44,25.72,0.91
adrar,Adrar,0,DZ,1552006800,9,27.87,-0.29,19,4.1
araouane,Araouane,0,ML,1552009955,26,18.9,-3.53,12.3,4.66
orlik,Orlik,0,RU,1552009955,73,52.51,99.83,-13.71,1.11
lafia,Lafia,44,NG,1552009955,80,8.5,8.51,24.1,3.41
erenhot,Erenhot,80,CN,1552009955,70,43.65,111.97,3.8,4.71
kirovsk,Kirovsk,20,RU,1552009955,67,67.62,33.66,-23.61,0.91
kipen,Kipen,90,RU,1552009946,95,59.67,29.85,1.11,4
abu dhabi,Abu Dhabi,0,AE,1552006800,68,24.47,54.37,18,2.6
gornoye loo,Gornoye Loo,80,RU,1552006800,86,43.72,39.61,5,1
patiya,Patiya,75,BD,1552006800,94,22.3,91.98,22,1.11
marsa matruh,Marsa Matruh,88,EG,1552009956,77,31.35,27.25,4.05,1.21
walvis bay,Walvis Bay,0,NA,1552006990,82,-22.95,14.51,18.89,3.1
contamana,Contamana,76,PE,1552009957,93,-7.35,-75.01,23.97,1.21
nador,Nador,20,MA,1552008600,67,35.17,-2.93,15,3.1
miri,Miri,8,NG,1552009957,56,10.31,9.75,16.95,1.61
honningsvag,Honningsvag,24,NO,1552009957,100,70.98,25.97,-8.66,1.56
lashio,Lashio,80,MM,1552009958,83,22.93,97.75,18.75,1.21
muborak,Muborak,56,UZ,1552009958,78,39.25,65.15,2.75,1.36
manta,Manta,0,RO,1552009823,77,45.1,24.1,3.33,0.45
bandarbeyla,Bandarbeyla,92,SO,1552009958,100,9.49,50.81,25.2,4.31
ballina,Ballina,76,IE,1552009924,88,54.11,-9.15,7.22,0.45
camacha,Camacha,40,PT,1552008600,82,33.08,-16.33,17,8.7
tabas,Tabas,0,IR,1552009959,69,33.6,56.92,-0.23,1.21
esna,Esna,0,RO,1552009959,79,45.2,27.57,6.77,4.11
imeni babushkina,Imeni Babushkina,80,RU,1552009959,90,59.76,43.13,-4.46,7.46
deputatskiy,Deputatskiy,44,RU,1552009960,82,69.3,139.9,-13.26,1.56
sakaiminato,Sakaiminato,20,JP,1552009725,27,35.55,133.23,11,3.1
takaka,Takaka,92,NZ,1552009449,90,-40.86,172.81,17.22,2.24
iisalmi,Iisalmi,90,FI,1552008000,92,63.56,27.19,-2,3.1
qom,Qom,88,IR,1552009961,73,34.64,50.88,5.97,0.96
kasongo,Kasongo,92,CD,1552009961,99,-4.43,26.67,19.85,1.21
mountain home,Mountain Home,90,US,1552009724,56,43.13,-115.69,8,3.1
santa isabel do rio negro,Santa Isabel do Rio Negro,20,BR,1552009961,86,-0.41,-65.02,26.5,1.31
mendi,Mendi,0,ET,1552009961,53,9.8,35.1,12.22,1.31
port macquarie,Port Macquarie,90,AU,1552009444,65,-31.43,152.91,25,4.6
dauphin,Dauphin,1,CA,1552006800,61,51.15,-100.04,-10,2.6
pavlodar,Pavlodar,0,KZ,1552006800,84,52.28,76.96,-13,4
muravlenko,Muravlenko,68,RU,1552009962,85,63.79,74.5,-11.26,11.96
algeciras,Algeciras,75,ES,1552008600,81,36.13,-5.45,13,4.1
buraydah,Buraydah,0,SA,1552006800,71,26.33,43.97,10,3.1
bucerias,Bucerias,5,MX,1552009808,78,20.76,-105.33,25,3.6
talcahuano,Talcahuano,0,CL,1552006800,67,-36.72,-73.12,16,5.1
tateyama,Tateyama,40,JP,1552009797,56,36.66,137.31,8.33,0.5
makaryev,Makaryev,76,RU,1552009963,77,57.88,43.81,-7.28,6.31
barra do garcas,Barra do Garcas,44,BR,1552009804,86,-15.89,-52.26,24.4,2.41
nouadhibou,Nouadhibou,0,MR,1552006800,67,20.93,-17.03,17,12.9
lodja,Lodja,80,CD,1552009964,97,-3.52,23.6,20.1,1.06
kolokani,Kolokani,0,ML,1552009964,32,13.58,-8.03,15.77,2.51
shiraz,Shiraz,0,IR,1552006800,64,29.61,52.54,1,1.16
mocuba,Mocuba,92,MZ,1552009964,98,-16.84,36.99,21.65,1.56
jiangyou,Jiangyou,92,CN,1552009964,97,31.78,104.73,6.3,2.76
salta,Salta,20,AR,1552006800,83,-24.79,-65.41,24,1.5
kenora,Kenora,1,CA,1552009963,71,49.76,-94.48,-12,3.1
jackville,Jackville,0,CI,1552008600,88,5.21,-4.42,27,3.1
